date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:43	138958/138958	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2018:06:14%20GMT	https://spruko.com/demo/sash/sash/html/index.html	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/html/index.html	(from )
21:02:43	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Sep%202022%2018:02:43%20GMT	https://spruko.com/robots.txt		(from )
21:02:45	163873/163873	---M--	200	added ('OK')	text/css	date:Sun,%2010%20Oct%202021%2002:14:24%20GMT	https://spruko.com/demo/sash/sash/assets/plugins/bootstrap/css/bootstrap.min.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:47	1562900/1562900	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2021:57:36%20GMT	https://spruko.com/demo/sash/sash/assets/css/style.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/css/style.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:47	198576/198576	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2020:53:20%20GMT	https://spruko.com/demo/sash/sash/assets/css/dark-style.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/css/dark-style.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:47	235163/235163	---M--	200	added ('OK')	text/css	date:Tue,%2005%20Jul%202022%2020:52:08%20GMT	https://spruko.com/demo/sash/sash/assets/css/transparent-style.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/css/transparent-style.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:48	755/755	---M--	200	added ('OK')	text/css	date:Thu,%2020%20Jan%202022%2017:10:50%20GMT	https://spruko.com/demo/sash/sash/assets/css/icons.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/css/icons.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:49	22455/22455	---M--	200	added ('OK')	text/css	date:Fri,%2022%20Apr%202022%2022:43:46%20GMT	https://spruko.com/demo/sash/sash/assets/colors/color1.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/colors/color1.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:49	7760/7760	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2000:10:08%20GMT	https://spruko.com/demo/sash/sash/assets/switcher/css/switcher.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/switcher/css/switcher.css	(from https://spruko.com/demo/sash/sash/html/index.html)
21:02:49	4376/4376	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2022:16:28%20GMT	https://spruko.com/demo/sash/sash/assets/switcher/demo.css	C:/Users/ibrah/Desktop/Dashboard/spruko.com/demo/sash/sash/assets/switcher/demo.css	(from https://spruko.com/demo/sash/sash/html/index.html)
